Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Egypt, Arab Rep.",EGY,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,573.200232571529,595.35755555671,852.653263154155,897.457077914252,915.923676272684,919.923764622613,887.650178884961,911.161460890518,913.06138709583,..,..,..
"Egypt, Arab Rep.",EGY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.34658230726865,2.06814043277005,2.34175781523222,2.49135700439739,2.49185303122379,2.462249163666,2.49481706669717,2.63511522475978,..,..,..,..
"Egypt, Arab Rep.",EGY,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,674.660280116735,984.065171379107,1343.76874198165,1436.07409836698,1482.85326038166,1550.48747089891,1589.87591008466,1700.74023095103,1700.44905667699,..,..,..
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,43130415171.9438,99838541029.2517,107484034644.765,130478960092.499,162818181818.182,188982374700.805,218888324504.753,236001858960.015,262824255567.604,271972822883.38,286538047765.904,..
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.70175329535007,5.36800596653157,6.84383819379116,7.08782742681046,7.15220293936281,4.68504060211687,5.13898583215664,1.82184437597419,2.19184690487997,2.10913582817909,2.20000000784101,..
"Egypt, Arab Rep.",EGY,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,18.4406071711711,4.9328671323909,7.3599779033822,12.5957400608436,12.208257474403,11.1733910388198,10.1155034262608,11.6001685151635,12.4431564675213,8.98663018678887,11.4811398894508,..
"Egypt, Arab Rep.",EGY,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,19.3666392432072,16.740742618012,14.0698666647394,14.0702400636499,13.223846833948,13.6274739700043,13.9901838153239,14.5170221031941,14.4655140766116,14.5083160252965,14.4839070142336,..
"Egypt, Arab Rep.",EGY,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,28.670487889298,33.1320980653664,38.4289886105701,36.7640662140868,37.914499887642,37.5511377588627,37.5264994573217,37.6312584944092,39.2242870545713,39.1721045042549,39.9472682879596,..
"Egypt, Arab Rep.",EGY,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,51.962872976695,50.1271593166216,47.5011447246905,49.1656937222633,48.86165327841,48.8213882711331,48.4833167273544,47.8517194023967,46.3101988688171,46.3195794704486,45.5688246978067,..
"Egypt, Arab Rep.",EGY,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.0475985386931,16.2011173184358,29.9498138885135,30.249731471536,33.0429927414852,24.9568221070812,21.3492458146859,20.5674276128656,17.429387496033,18.0573775166828,15.1882258710453,..
"Egypt, Arab Rep.",EGY,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,32.7132861811683,22.8168185827698,31.568722747352,34.828141783029,38.6376326074819,31.596622529265,26.5871042599039,24.6882065494858,25.845763249762,24.7818399589346,24.0538646375651,..
"Egypt, Arab Rep.",EGY,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,28.8128392937317,19.5530726256983,18.7307754967622,20.8512352309345,22.3897264098269,19.1901746305891,19.5010774075916,17.1030559404857,16.3821009203427,14.1789767866309,14.046856227473,..
"Egypt, Arab Rep.",EGY,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,22.9660166207035,..,28.1389833844596,27.1170918367347,27.6239352317141,26.9200729226636,24.7838223106249,21.9307417402086,21.5443986036179,..,..,..
"Egypt, Arab Rep.",EGY,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,-1.9503275131944,..,-7.16849604875999,-4.55796186895811,-6.36079061976549,-6.56296296296296,-7.73391347588264,-10.0824593392167,-10.6351634401777,..,..,..
"Egypt, Arab Rep.",EGY,Time required to start a business (days),IC.REG.DURS,..,..,19,10,8,8,8,8,8,8,8,..
"Egypt, Arab Rep.",EGY,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,99.7588533687772,89.0123019028827,92.9668361470081,84.1463983837943,77.6984785968587,75.1145461068893,69.4220342404393,74.6102600158187,77.6564400598185,86.1992631330263,92.8257796582284,..
"Egypt, Arab Rep.",EGY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,13.188374687889,..,15.829512741749,15.3498523093448,15.3205248464545,15.6613605833813,14.1300762473065,14.0086354022318,13.1647096159949,..,..,..
"Egypt, Arab Rep.",EGY,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.6641432368873,3.18920905615995,2.7403755926218,2.50212808807734,2.29304299274149,2.13727691421992,2.05349743079728,1.93158777623806,1.7519517613456,1.70840700393544,1.75768422106528,..
"Egypt, Arab Rep.",EGY,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.00710017822512372,2.05619914785446,24.6621729650854,40.5413505185406,54.6901720160205,72.0966674278951,90.5031917419125,105.079422775456,119.91644420941,121.507893024476,114.305985751523,..
"Egypt, Arab Rep.",EGY,Internet users (per 100 people),IT.NET.USER.P2,0,0.641265037504813,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,31.7,..
"Egypt, Arab Rep.",EGY,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,0.309977485556606,0.553999986226965,0.190126404980375,0.97124854531745,0.835874211681505,0.876451031858656,0.951629975266429,0.583528354785679,0.518186450113501,..,..
"Egypt, Arab Rep.",EGY,Overall level of statistical capacity (scale 0 - 100),IQ.SCI.OVRL,..,..,91.1111111111111,87.7777777777778,86.6666666666667,87.7777777777778,85.5555555555556,88.8888888888889,86.6666666666667,90,90,..
"Egypt, Arab Rep.",EGY,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,36.8394320728351,19.8864565350398,40.9624556293528,43.1671128893663,45.8212081518705,35.9860543120322,36.2562252598707,37.8939811720516,37.5144599143129,31.9100265533565,33.0099556574136,..
"Egypt, Arab Rep.",EGY,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,101.2195121951,100,135.8114655406,131.0995734619,150.1485581538,138.6928543265,142.4683872845,150.8025523095,154.6806446264,153.0471858051,..,..
"Egypt, Arab Rep.",EGY,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,32963327000,29178416000,30648521000,34235668000,33573620000,35068017000,36541583000,35147466000,39997780000,44430257000,..,..
"Egypt, Arab Rep.",EGY,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,28.5721341208204,9.8069442220443,6.19935016118551,5.99660846416668,5.63461608299338,6.43366154251003,6.13278868183669,7.45058981482263,6.61961436388061,..,..,..
"Egypt, Arab Rep.",EGY,Net migration,SM.POP.NETM,..,..,..,-346922,..,..,..,..,-215681,..,..,..
"Egypt, Arab Rep.",EGY,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,4283500000,2852000000,5329500000,7655800000,8694000000,7149600000,12453100000,14324300000,19236400000,17833100000,19570400000,..
"Egypt, Arab Rep.",EGY,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,734000000,1235000000,10042800000,11578100000,9494600000,6711600000,6385600000,-482700000,2797700000,4192200000,4783200000,..
"Egypt, Arab Rep.",EGY,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,6056930000,1371150000,898740000,1132780000,1742320000,1000030000,597210000,414470000,1806630000,5505650000,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 09/18/2015,,,,,,,,,,,,,,,
